team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2,Pld1,W1,L1,D1,Pts1,Pld2,W2,L2,D2,Pts2
u mumba,jaipur pink panthers,45.0,31.0,season 1,16.0,550.0,16.0,579.0,14.0,8.0,3.0,3.0,51.0,14.0,10.0,3.0,1.0,54.0
bengaluru bulls,dabang delhi,47.0,28.0,season 1,16.0,498.0,14.0,456.0,14.0,8.0,5.0,1.0,47.0,14.0,5.0,8.0,1.0,32.0
bengaluru bulls,puneri paltan,40.0,37.0,season 1,16.0,498.0,14.0,405.0,14.0,8.0,5.0,1.0,47.0,14.0,2.0,12.0,0.0,17.0
u mumba,bengal warriors,36.0,25.0,season 1,16.0,550.0,14.0,430.0,14.0,8.0,3.0,3.0,51.0,14.0,4.0,9.0,1.0,24.0
dabang delhi,puneri paltan,35.0,31.0,season 1,14.0,456.0,14.0,405.0,14.0,5.0,8.0,1.0,32.0,14.0,2.0,12.0,0.0,17.0
u mumba,patna pirates,36.0,33.0,season 1,16.0,550.0,16.0,504.0,14.0,8.0,3.0,3.0,51.0,14.0,7.0,5.0,2.0,45.0
bengaluru bulls,bengal warriors,46.0,30.0,season 1,16.0,498.0,14.0,430.0,14.0,8.0,5.0,1.0,47.0,14.0,4.0,9.0,1.0,24.0
jaipur pink panthers,telugu titans,46.0,32.0,season 1,16.0,579.0,14.0,497.0,14.0,10.0,3.0,1.0,54.0,14.0,6.0,5.0,3.0,42.0
bengal warriors,dabang delhi,42.0,40.0,season 1,14.0,430.0,14.0,456.0,14.0,4.0,9.0,1.0,24.0,14.0,5.0,8.0,1.0,32.0
patna pirates,telugu titans,38.0,35.0,season 1,16.0,504.0,14.0,497.0,14.0,7.0,5.0,2.0,45.0,14.0,6.0,5.0,3.0,42.0
bengal warriors,puneri paltan,38.0,35.0,season 1,14.0,430.0,14.0,405.0,14.0,4.0,9.0,1.0,24.0,14.0,2.0,12.0,0.0,17.0
jaipur pink panthers,patna pirates,40.0,18.0,season 1,16.0,579.0,16.0,504.0,14.0,10.0,3.0,1.0,54.0,14.0,7.0,5.0,2.0,45.0
u mumba,bengal warriors,38.0,29.0,season 1,16.0,550.0,14.0,430.0,14.0,8.0,3.0,3.0,51.0,14.0,4.0,9.0,1.0,24.0
telugu titans,dabang delhi,39.0,35.0,season 1,14.0,497.0,14.0,456.0,14.0,6.0,5.0,3.0,42.0,14.0,5.0,8.0,1.0,32.0
puneri paltan,bengaluru bulls,33.0,31.0,season 1,14.0,405.0,16.0,498.0,14.0,2.0,12.0,0.0,17.0,14.0,8.0,5.0,1.0,47.0
u mumba,puneri paltan,44.0,28.0,season 1,16.0,550.0,14.0,405.0,14.0,8.0,3.0,3.0,51.0,14.0,2.0,12.0,0.0,17.0
patna pirates,dabang delhi,36.0,31.0,season 1,16.0,504.0,14.0,456.0,14.0,7.0,5.0,2.0,45.0,14.0,5.0,8.0,1.0,32.0
u mumba,bengaluru bulls,45.0,34.0,season 1,16.0,550.0,16.0,498.0,14.0,8.0,3.0,3.0,51.0,14.0,8.0,5.0,1.0,47.0
jaipur pink panthers,dabang delhi,40.0,31.0,season 1,16.0,579.0,14.0,456.0,14.0,10.0,3.0,1.0,54.0,14.0,5.0,8.0,1.0,32.0
dabang delhi,bengal warriors,46.0,36.0,season 1,14.0,456.0,14.0,430.0,14.0,5.0,8.0,1.0,32.0,14.0,4.0,9.0,1.0,24.0
patna pirates,puneri paltan,35.0,27.0,season 1,16.0,504.0,14.0,405.0,14.0,7.0,5.0,2.0,45.0,14.0,2.0,12.0,0.0,17.0
bengal warriors,telugu titans,40.0,35.0,season 1,14.0,430.0,14.0,497.0,14.0,4.0,9.0,1.0,24.0,14.0,6.0,5.0,3.0,42.0
jaipur pink panthers,telugu titans,49.0,29.0,season 1,16.0,579.0,14.0,497.0,14.0,10.0,3.0,1.0,54.0,14.0,6.0,5.0,3.0,42.0
jaipur pink panthers,bengal warriors,39.0,23.0,season 1,16.0,579.0,14.0,430.0,14.0,10.0,3.0,1.0,54.0,14.0,4.0,9.0,1.0,24.0
bengaluru bulls,patna pirates,37.0,35.0,season 1,16.0,498.0,16.0,504.0,14.0,8.0,5.0,1.0,47.0,14.0,7.0,5.0,2.0,45.0
telugu titans,puneri paltan,42.0,36.0,season 1,14.0,497.0,14.0,405.0,14.0,6.0,5.0,3.0,42.0,14.0,2.0,12.0,0.0,17.0
bengaluru bulls,u mumba,33.0,30.0,season 1,16.0,498.0,16.0,550.0,14.0,8.0,5.0,1.0,47.0,14.0,8.0,3.0,3.0,51.0
puneri paltan,bengal warriors,40.0,30.0,season 1,14.0,405.0,14.0,430.0,14.0,2.0,12.0,0.0,17.0,14.0,4.0,9.0,1.0,24.0
dabang delhi,bengaluru bulls,29.0,27.0,season 1,14.0,456.0,16.0,498.0,14.0,5.0,8.0,1.0,32.0,14.0,8.0,5.0,1.0,47.0
jaipur pink panthers,puneri paltan,50.0,23.0,season 1,16.0,579.0,14.0,405.0,14.0,10.0,3.0,1.0,54.0,14.0,2.0,12.0,0.0,17.0
dabang delhi,u mumba,36.0,27.0,season 1,14.0,456.0,16.0,550.0,14.0,5.0,8.0,1.0,32.0,14.0,8.0,3.0,3.0,51.0
patna pirates,puneri paltan,37.0,31.0,season 1,16.0,504.0,14.0,405.0,14.0,7.0,5.0,2.0,45.0,14.0,2.0,12.0,0.0,17.0
jaipur pink panthers,bengal warriors,41.0,33.0,season 1,16.0,579.0,14.0,430.0,14.0,10.0,3.0,1.0,54.0,14.0,4.0,9.0,1.0,24.0
patna pirates,jaipur pink panthers,52.0,30.0,season 1,16.0,504.0,16.0,579.0,14.0,7.0,5.0,2.0,45.0,14.0,10.0,3.0,1.0,54.0
telugu titans,u mumba,44.0,43.0,season 1,14.0,497.0,16.0,550.0,14.0,6.0,5.0,3.0,42.0,14.0,8.0,3.0,3.0,51.0
bengal warriors,patna pirates,30.0,28.0,season 1,14.0,430.0,16.0,504.0,14.0,4.0,9.0,1.0,24.0,14.0,7.0,5.0,2.0,45.0
telugu titans,puneri paltan,60.0,24.0,season 1,14.0,497.0,14.0,405.0,14.0,6.0,5.0,3.0,42.0,14.0,2.0,12.0,0.0,17.0
telugu titans,dabang delhi,45.0,26.0,season 1,14.0,497.0,14.0,456.0,14.0,6.0,5.0,3.0,42.0,14.0,5.0,8.0,1.0,32.0
jaipur pink panthers,bengaluru bulls,36.0,31.0,season 1,16.0,579.0,16.0,498.0,14.0,10.0,3.0,1.0,54.0,14.0,8.0,5.0,1.0,47.0
patna pirates,bengal warriors,36.0,32.0,season 1,16.0,504.0,14.0,430.0,14.0,7.0,5.0,2.0,45.0,14.0,4.0,9.0,1.0,24.0
jaipur pink panthers,dabang delhi,41.0,31.0,season 1,16.0,579.0,14.0,456.0,14.0,10.0,3.0,1.0,54.0,14.0,5.0,8.0,1.0,32.0
telugu titans,patna pirates,32.0,29.0,season 1,14.0,497.0,16.0,504.0,14.0,6.0,5.0,3.0,42.0,14.0,7.0,5.0,2.0,45.0
jaipur pink panthers,puneri paltan,33.0,27.0,season 1,16.0,579.0,14.0,405.0,14.0,10.0,3.0,1.0,54.0,14.0,2.0,12.0,0.0,17.0
bengaluru bulls,bengal warriors,37.0,24.0,season 1,16.0,498.0,14.0,430.0,14.0,8.0,5.0,1.0,47.0,14.0,4.0,9.0,1.0,24.0
u mumba,dabang delhi,37.0,30.0,season 1,16.0,550.0,14.0,456.0,14.0,8.0,3.0,3.0,51.0,14.0,5.0,8.0,1.0,32.0
dabang delhi,puneri paltan,45.0,22.0,season 1,14.0,456.0,14.0,405.0,14.0,5.0,8.0,1.0,32.0,14.0,2.0,12.0,0.0,17.0
patna pirates,bengaluru bulls,33.0,31.0,season 1,16.0,504.0,16.0,498.0,14.0,7.0,5.0,2.0,45.0,14.0,8.0,5.0,1.0,47.0
bengaluru bulls,telugu titans,27.0,26.0,season 1,16.0,498.0,14.0,497.0,14.0,8.0,5.0,1.0,47.0,14.0,6.0,5.0,3.0,42.0
u mumba,puneri paltan,36.0,35.0,season 1,16.0,550.0,14.0,405.0,14.0,8.0,3.0,3.0,51.0,14.0,2.0,12.0,0.0,17.0
bengaluru bulls,jaipur pink panthers,30.0,29.0,season 1,16.0,498.0,16.0,579.0,14.0,8.0,5.0,1.0,47.0,14.0,10.0,3.0,1.0,54.0
jaipur pink panthers,patna pirates,38.0,18.0,season 1,16.0,579.0,16.0,504.0,14.0,10.0,3.0,1.0,54.0,14.0,7.0,5.0,2.0,45.0
u mumba,bengaluru bulls,27.0,23.0,season 1,16.0,550.0,16.0,498.0,14.0,8.0,3.0,3.0,51.0,14.0,8.0,5.0,1.0,47.0
patna pirates,bengaluru bulls,29.0,22.0,season 1,16.0,504.0,16.0,498.0,14.0,7.0,5.0,2.0,45.0,14.0,8.0,5.0,1.0,47.0
jaipur pink panthers,u mumba,35.0,24.0,season 1,16.0,579.0,16.0,550.0,14.0,10.0,3.0,1.0,54.0,14.0,8.0,3.0,3.0,51.0
u mumba,jaipur pink panthers,29.0,28.0,season 2,16.0,489.0,14.0,442.0,14.0,12.0,2.0,0.0,60.0,14.0,6.0,7.0,1.0,38.0
bengaluru bulls,bengal warriors,33.0,25.0,season 2,16.0,508.0,14.0,367.0,14.0,9.0,5.0,0.0,48.0,14.0,4.0,9.0,1.0,27.0
telugu titans,dabang delhi,36.0,27.0,season 2,16.0,586.0,14.0,396.0,14.0,8.0,3.0,3.0,50.0,14.0,4.0,9.0,1.0,27.0
u mumba,bengaluru bulls,36.0,23.0,season 2,16.0,489.0,16.0,508.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,48.0
telugu titans,puneri paltan,45.0,24.0,season 2,16.0,586.0,14.0,391.0,14.0,8.0,3.0,3.0,50.0,14.0,2.0,11.0,1.0,21.0
u mumba,patna pirates,25.0,20.0,season 2,16.0,489.0,16.0,444.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,6.0,1.0,41.0
u mumba,puneri paltan,28.0,21.0,season 2,16.0,489.0,14.0,391.0,14.0,12.0,2.0,0.0,60.0,14.0,2.0,11.0,1.0,21.0
bengal warriors,jaipur pink panthers,28.0,26.0,season 2,14.0,367.0,14.0,442.0,14.0,4.0,9.0,1.0,27.0,14.0,6.0,7.0,1.0,38.0
bengaluru bulls,patna pirates,31.0,26.0,season 2,16.0,508.0,16.0,444.0,14.0,9.0,5.0,0.0,48.0,14.0,7.0,6.0,1.0,41.0
telugu titans,bengal warriors,32.0,30.0,season 2,16.0,586.0,14.0,367.0,14.0,8.0,3.0,3.0,50.0,14.0,4.0,9.0,1.0,27.0
dabang delhi,puneri paltan,38.0,37.0,season 2,14.0,396.0,14.0,391.0,14.0,4.0,9.0,1.0,27.0,14.0,2.0,11.0,1.0,21.0
u mumba,bengal warriors,29.0,25.0,season 2,16.0,489.0,14.0,367.0,14.0,12.0,2.0,0.0,60.0,14.0,4.0,9.0,1.0,27.0
bengaluru bulls,puneri paltan,31.0,26.0,season 2,16.0,508.0,14.0,391.0,14.0,9.0,5.0,0.0,48.0,14.0,2.0,11.0,1.0,21.0
dabang delhi,bengal warriors,32.0,21.0,season 2,14.0,396.0,14.0,367.0,14.0,4.0,9.0,1.0,27.0,14.0,4.0,9.0,1.0,27.0
patna pirates,jaipur pink panthers,29.0,23.0,season 2,16.0,444.0,14.0,442.0,14.0,7.0,6.0,1.0,41.0,14.0,6.0,7.0,1.0,38.0
u mumba,telugu titans,27.0,26.0,season 2,16.0,489.0,16.0,586.0,14.0,12.0,2.0,0.0,60.0,14.0,8.0,3.0,3.0,50.0
bengaluru bulls,dabang delhi,33.0,18.0,season 2,16.0,508.0,14.0,396.0,14.0,9.0,5.0,0.0,48.0,14.0,4.0,9.0,1.0,27.0
telugu titans,jaipur pink panthers,33.0,22.0,season 2,16.0,586.0,14.0,442.0,14.0,8.0,3.0,3.0,50.0,14.0,6.0,7.0,1.0,38.0
jaipur pink panthers,bengaluru bulls,36.0,23.0,season 2,14.0,442.0,16.0,508.0,14.0,6.0,7.0,1.0,38.0,14.0,9.0,5.0,0.0,48.0
puneri paltan,bengal warriors,33.0,29.0,season 2,14.0,391.0,14.0,367.0,14.0,2.0,11.0,1.0,21.0,14.0,4.0,9.0,1.0,27.0
dabang delhi,jaipur pink panthers,35.0,27.0,season 2,14.0,396.0,14.0,442.0,14.0,4.0,9.0,1.0,27.0,14.0,6.0,7.0,1.0,38.0
telugu titans,patna pirates,34.0,22.0,season 2,16.0,586.0,16.0,444.0,14.0,8.0,3.0,3.0,50.0,14.0,7.0,6.0,1.0,41.0
bengaluru bulls,telugu titans,35.0,21.0,season 2,16.0,508.0,16.0,586.0,14.0,9.0,5.0,0.0,48.0,14.0,8.0,3.0,3.0,50.0
patna pirates,dabang delhi,39.0,22.0,season 2,16.0,444.0,14.0,396.0,14.0,7.0,6.0,1.0,41.0,14.0,4.0,9.0,1.0,27.0
u mumba,dabang delhi,27.0,22.0,season 2,16.0,489.0,14.0,396.0,14.0,12.0,2.0,0.0,60.0,14.0,4.0,9.0,1.0,27.0
patna pirates,puneri paltan,32.0,28.0,season 2,16.0,444.0,14.0,391.0,14.0,7.0,6.0,1.0,41.0,14.0,2.0,11.0,1.0,21.0
jaipur pink panthers,puneri paltan,35.0,29.0,season 2,14.0,442.0,14.0,391.0,14.0,6.0,7.0,1.0,38.0,14.0,2.0,11.0,1.0,21.0
u mumba,dabang delhi,29.0,25.0,season 2,16.0,489.0,14.0,396.0,14.0,12.0,2.0,0.0,60.0,14.0,4.0,9.0,1.0,27.0
telugu titans,bengal warriors,44.0,28.0,season 2,16.0,586.0,14.0,367.0,14.0,8.0,3.0,3.0,50.0,14.0,4.0,9.0,1.0,27.0
bengaluru bulls,bengal warriors,33.0,22.0,season 2,16.0,508.0,14.0,367.0,14.0,9.0,5.0,0.0,48.0,14.0,4.0,9.0,1.0,27.0
telugu titans,patna pirates,54.0,32.0,season 2,16.0,586.0,16.0,444.0,14.0,8.0,3.0,3.0,50.0,14.0,7.0,6.0,1.0,41.0
jaipur pink panthers,u mumba,35.0,25.0,season 2,14.0,442.0,16.0,489.0,14.0,6.0,7.0,1.0,38.0,14.0,12.0,2.0,0.0,60.0
bengal warriors,dabang delhi,20.0,17.0,season 2,14.0,367.0,14.0,396.0,14.0,4.0,9.0,1.0,27.0,14.0,4.0,9.0,1.0,27.0
patna pirates,bengaluru bulls,30.0,28.0,season 2,16.0,444.0,16.0,508.0,14.0,7.0,6.0,1.0,41.0,14.0,9.0,5.0,0.0,48.0
u mumba,bengal warriors,31.0,17.0,season 2,16.0,489.0,14.0,367.0,14.0,12.0,2.0,0.0,60.0,14.0,4.0,9.0,1.0,27.0
dabang delhi,patna pirates,45.0,26.0,season 2,14.0,396.0,16.0,444.0,14.0,4.0,9.0,1.0,27.0,14.0,7.0,6.0,1.0,41.0
jaipur pink panthers,dabang delhi,51.0,21.0,season 2,14.0,442.0,14.0,396.0,14.0,6.0,7.0,1.0,38.0,14.0,4.0,9.0,1.0,27.0
jaipur pink panthers,puneri paltan,31.0,18.0,season 2,14.0,442.0,14.0,391.0,14.0,6.0,7.0,1.0,38.0,14.0,2.0,11.0,1.0,21.0
u mumba,bengaluru bulls,36.0,29.0,season 2,16.0,489.0,16.0,508.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,48.0
bengal warriors,puneri paltan,31.0,28.0,season 2,14.0,367.0,14.0,391.0,14.0,4.0,9.0,1.0,27.0,14.0,2.0,11.0,1.0,21.0
jaipur pink panthers,bengaluru bulls,27.0,25.0,season 2,14.0,442.0,16.0,508.0,14.0,6.0,7.0,1.0,38.0,14.0,9.0,5.0,0.0,48.0
patna pirates,bengal warriors,34.0,32.0,season 2,16.0,444.0,14.0,367.0,14.0,7.0,6.0,1.0,41.0,14.0,4.0,9.0,1.0,27.0
bengaluru bulls,dabang delhi,40.0,21.0,season 2,16.0,508.0,14.0,396.0,14.0,9.0,5.0,0.0,48.0,14.0,4.0,9.0,1.0,27.0
u mumba,patna pirates,32.0,27.0,season 2,16.0,489.0,16.0,444.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,6.0,1.0,41.0
bengaluru bulls,telugu titans,43.0,29.0,season 2,16.0,508.0,16.0,586.0,14.0,9.0,5.0,0.0,48.0,14.0,8.0,3.0,3.0,50.0
puneri paltan,dabang delhi,33.0,28.0,season 2,14.0,391.0,14.0,396.0,14.0,2.0,11.0,1.0,21.0,14.0,4.0,9.0,1.0,27.0
bengal warriors,jaipur pink panthers,39.0,38.0,season 2,14.0,367.0,14.0,442.0,14.0,4.0,9.0,1.0,27.0,14.0,6.0,7.0,1.0,38.0
u mumba,puneri paltan,39.0,34.0,season 2,16.0,489.0,14.0,391.0,14.0,12.0,2.0,0.0,60.0,14.0,2.0,11.0,1.0,21.0
telugu titans,u mumba,46.0,25.0,season 2,16.0,586.0,16.0,489.0,14.0,8.0,3.0,3.0,50.0,14.0,12.0,2.0,0.0,60.0
patna pirates,puneri paltan,38.0,21.0,season 2,16.0,444.0,14.0,391.0,14.0,7.0,6.0,1.0,41.0,14.0,2.0,11.0,1.0,21.0
patna pirates,jaipur pink panthers,26.0,24.0,season 2,16.0,444.0,14.0,442.0,14.0,7.0,6.0,1.0,41.0,14.0,6.0,7.0,1.0,38.0
bengaluru bulls,puneri paltan,31.0,30.0,season 2,16.0,508.0,14.0,391.0,14.0,9.0,5.0,0.0,48.0,14.0,2.0,11.0,1.0,21.0
bengaluru bulls,telugu titans,39.0,38.0,season 2,16.0,508.0,16.0,586.0,14.0,9.0,5.0,0.0,48.0,14.0,8.0,3.0,3.0,50.0
u mumba,patna pirates,35.0,18.0,season 2,16.0,489.0,16.0,444.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,6.0,1.0,41.0
telugu titans,patna pirates,34.0,26.0,season 2,16.0,586.0,16.0,444.0,14.0,8.0,3.0,3.0,50.0,14.0,7.0,6.0,1.0,41.0
u mumba,bengaluru bulls,36.0,30.0,season 2,16.0,489.0,16.0,508.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,48.0
u mumba,telugu titans,27.0,25.0,season 3,16.0,502.0,14.0,427.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,7.0,0.0,38.0
bengaluru bulls,dabang delhi,35.0,29.0,season 3,14.0,362.0,14.0,384.0,14.0,2.0,12.0,0.0,14.0,14.0,1.0,12.0,1.0,11.0
jaipur pink panthers,u mumba,27.0,18.0,season 3,14.0,364.0,16.0,502.0,14.0,4.0,8.0,2.0,28.0,14.0,12.0,2.0,0.0,60.0
telugu titans,puneri paltan,27.0,26.0,season 3,14.0,427.0,16.0,510.0,14.0,7.0,7.0,0.0,38.0,14.0,7.0,4.0,3.0,48.0
patna pirates,jaipur pink panthers,29.0,28.0,season 3,16.0,594.0,14.0,364.0,14.0,10.0,2.0,2.0,58.0,14.0,4.0,8.0,2.0,28.0
telugu titans,dabang delhi,45.0,34.0,season 3,14.0,427.0,14.0,384.0,14.0,7.0,7.0,0.0,38.0,14.0,1.0,12.0,1.0,11.0
bengal warriors,telugu titans,25.0,17.0,season 3,16.0,460.0,14.0,427.0,14.0,9.0,5.0,0.0,47.0,14.0,7.0,7.0,0.0,38.0
patna pirates,bengaluru bulls,33.0,24.0,season 3,16.0,594.0,14.0,362.0,14.0,10.0,2.0,2.0,58.0,14.0,2.0,12.0,0.0,14.0
puneri paltan,dabang delhi,38.0,20.0,season 3,16.0,510.0,14.0,384.0,14.0,7.0,4.0,3.0,48.0,14.0,1.0,12.0,1.0,11.0
bengal warriors,bengaluru bulls,34.0,24.0,season 3,16.0,460.0,14.0,362.0,14.0,9.0,5.0,0.0,47.0,14.0,2.0,12.0,0.0,14.0
u mumba,dabang delhi,30.0,17.0,season 3,16.0,502.0,14.0,384.0,14.0,12.0,2.0,0.0,60.0,14.0,1.0,12.0,1.0,11.0
bengaluru bulls,jaipur pink panthers,36.0,26.0,season 3,14.0,362.0,14.0,364.0,14.0,2.0,12.0,0.0,14.0,14.0,4.0,8.0,2.0,28.0
patna pirates,u mumba,40.0,26.0,season 3,16.0,594.0,16.0,502.0,14.0,10.0,2.0,2.0,58.0,14.0,12.0,2.0,0.0,60.0
telugu titans,bengaluru bulls,35.0,26.0,season 3,14.0,427.0,14.0,362.0,14.0,7.0,7.0,0.0,38.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,puneri paltan,33.0,28.0,season 3,16.0,460.0,16.0,510.0,14.0,9.0,5.0,0.0,47.0,14.0,7.0,4.0,3.0,48.0
jaipur pink panthers,dabang delhi,39.0,34.0,season 3,14.0,364.0,14.0,384.0,14.0,4.0,8.0,2.0,28.0,14.0,1.0,12.0,1.0,11.0
patna pirates,telugu titans,29.0,25.0,season 3,16.0,594.0,14.0,427.0,14.0,10.0,2.0,2.0,58.0,14.0,7.0,7.0,0.0,38.0
bengal warriors,dabang delhi,34.0,17.0,season 3,16.0,460.0,14.0,384.0,14.0,9.0,5.0,0.0,47.0,14.0,1.0,12.0,1.0,11.0
patna pirates,bengal warriors,36.0,31.0,season 3,16.0,594.0,16.0,460.0,14.0,10.0,2.0,2.0,58.0,14.0,9.0,5.0,0.0,47.0
u mumba,bengaluru bulls,29.0,28.0,season 3,16.0,502.0,14.0,362.0,14.0,12.0,2.0,0.0,60.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,jaipur pink panthers,34.0,20.0,season 3,16.0,460.0,14.0,364.0,14.0,9.0,5.0,0.0,47.0,14.0,4.0,8.0,2.0,28.0
patna pirates,dabang delhi,47.0,34.0,season 3,16.0,594.0,14.0,384.0,14.0,10.0,2.0,2.0,58.0,14.0,1.0,12.0,1.0,11.0
telugu titans,jaipur pink panthers,27.0,25.0,season 3,14.0,427.0,14.0,364.0,14.0,7.0,7.0,0.0,38.0,14.0,4.0,8.0,2.0,28.0
u mumba,puneri paltan,29.0,27.0,season 3,16.0,502.0,16.0,510.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,4.0,3.0,48.0
u mumba,bengal warriors,32.0,21.0,season 3,16.0,502.0,16.0,460.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,47.0
puneri paltan,bengaluru bulls,29.0,27.0,season 3,16.0,510.0,14.0,362.0,14.0,7.0,4.0,3.0,48.0,14.0,2.0,12.0,0.0,14.0
patna pirates,bengal warriors,32.0,27.0,season 3,16.0,594.0,16.0,460.0,14.0,10.0,2.0,2.0,58.0,14.0,9.0,5.0,0.0,47.0
jaipur pink panthers,telugu titans,35.0,26.0,season 3,14.0,364.0,14.0,427.0,14.0,4.0,8.0,2.0,28.0,14.0,7.0,7.0,0.0,38.0
patna pirates,bengaluru bulls,36.0,32.0,season 3,16.0,594.0,14.0,362.0,14.0,10.0,2.0,2.0,58.0,14.0,2.0,12.0,0.0,14.0
dabang delhi,bengaluru bulls,35.0,21.0,season 3,14.0,384.0,14.0,362.0,14.0,1.0,12.0,1.0,11.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,telugu titans,32.0,28.0,season 3,16.0,460.0,14.0,427.0,14.0,9.0,5.0,0.0,47.0,14.0,7.0,7.0,0.0,38.0
u mumba,patna pirates,34.0,28.0,season 3,16.0,502.0,16.0,594.0,14.0,12.0,2.0,0.0,60.0,14.0,10.0,2.0,2.0,58.0
jaipur pink panthers,bengaluru bulls,30.0,21.0,season 3,14.0,364.0,14.0,362.0,14.0,4.0,8.0,2.0,28.0,14.0,2.0,12.0,0.0,14.0
puneri paltan,dabang delhi,32.0,22.0,season 3,16.0,510.0,14.0,384.0,14.0,7.0,4.0,3.0,48.0,14.0,1.0,12.0,1.0,11.0
telugu titans,bengaluru bulls,40.0,22.0,season 3,14.0,427.0,14.0,362.0,14.0,7.0,7.0,0.0,38.0,14.0,2.0,12.0,0.0,14.0
puneri paltan,jaipur pink panthers,33.0,18.0,season 3,16.0,510.0,14.0,364.0,14.0,7.0,4.0,3.0,48.0,14.0,4.0,8.0,2.0,28.0
bengal warriors,jaipur pink panthers,34.0,18.0,season 3,16.0,460.0,14.0,364.0,14.0,9.0,5.0,0.0,47.0,14.0,4.0,8.0,2.0,28.0
u mumba,bengal warriors,30.0,17.0,season 3,16.0,502.0,16.0,460.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,47.0
patna pirates,jaipur pink panthers,47.0,24.0,season 3,16.0,594.0,14.0,364.0,14.0,10.0,2.0,2.0,58.0,14.0,4.0,8.0,2.0,28.0
telugu titans,dabang delhi,44.0,36.0,season 3,14.0,427.0,14.0,384.0,14.0,7.0,7.0,0.0,38.0,14.0,1.0,12.0,1.0,11.0
u mumba,bengaluru bulls,39.0,18.0,season 3,16.0,502.0,14.0,362.0,14.0,12.0,2.0,0.0,60.0,14.0,2.0,12.0,0.0,14.0
patna pirates,dabang delhi,67.0,34.0,season 3,16.0,594.0,14.0,384.0,14.0,10.0,2.0,2.0,58.0,14.0,1.0,12.0,1.0,11.0
puneri paltan,telugu titans,41.0,24.0,season 3,16.0,510.0,14.0,427.0,14.0,7.0,4.0,3.0,48.0,14.0,7.0,7.0,0.0,38.0
puneri paltan,bengaluru bulls,44.0,27.0,season 3,16.0,510.0,14.0,362.0,14.0,7.0,4.0,3.0,48.0,14.0,2.0,12.0,0.0,14.0
bengal warriors,dabang delhi,37.0,31.0,season 3,16.0,460.0,14.0,384.0,14.0,9.0,5.0,0.0,47.0,14.0,1.0,12.0,1.0,11.0
u mumba,jaipur pink panthers,35.0,21.0,season 3,16.0,502.0,14.0,364.0,14.0,12.0,2.0,0.0,60.0,14.0,4.0,8.0,2.0,28.0
telugu titans,patna pirates,42.0,41.0,season 3,14.0,427.0,16.0,594.0,14.0,7.0,7.0,0.0,38.0,14.0,10.0,2.0,2.0,58.0
u mumba,puneri paltan,30.0,27.0,season 3,16.0,502.0,16.0,510.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,4.0,3.0,48.0
