team1,team2,team1_score,team2_score,season,matched_played1,total_point1,matched_played2,total_point2,Pld1,W1,L1,D1,Pts1,Pld2,W2,L2,D2,Pts2
bengal warriors,bengaluru bulls,26.0,22.0,season 3,16.0,460.0,14.0,362.0,14.0,9.0,5.0,0.0,47.0,14.0,2.0,12.0,0.0,14.0
u mumba,telugu titans,38.0,22.0,season 3,16.0,502.0,14.0,427.0,14.0,12.0,2.0,0.0,60.0,14.0,7.0,7.0,0.0,38.0
puneri paltan,bengal warriors,43.0,19.0,season 3,16.0,510.0,16.0,460.0,14.0,7.0,4.0,3.0,48.0,14.0,9.0,5.0,0.0,47.0
u mumba,dabang delhi,36.0,20.0,season 3,16.0,502.0,14.0,384.0,14.0,12.0,2.0,0.0,60.0,14.0,1.0,12.0,1.0,11.0
patna pirates,puneri paltan,40.0,21.0,season 3,16.0,594.0,16.0,510.0,14.0,10.0,2.0,2.0,58.0,14.0,7.0,4.0,3.0,48.0
u mumba,bengal warriors,41.0,29.0,season 3,16.0,502.0,16.0,460.0,14.0,12.0,2.0,0.0,60.0,14.0,9.0,5.0,0.0,47.0
puneri paltan,bengal warriors,31.0,27.0,season 3,16.0,510.0,16.0,460.0,14.0,7.0,4.0,3.0,48.0,14.0,9.0,5.0,0.0,47.0
patna pirates,u mumba,31.0,28.0,season 3,16.0,594.0,16.0,502.0,14.0,10.0,2.0,2.0,58.0,14.0,12.0,2.0,0.0,60.0
puneri paltan,telugu titans,28.0,24.0,season 4,16.0,515.0,16.0,506.0,14.0,6.0,6.0,2.0,42.0,14.0,8.0,4.0,2.0,50.0
u mumba,jaipur pink panthers,36.0,34.0,season 4,14.0,399.0,16.0,475.0,14.0,10.0,4.0,0.0,52.0,14.0,8.0,5.0,1.0,47.0
bengaluru bulls,bengal warriors,24.0,23.0,season 4,14.0,360.0,14.0,378.0,14.0,5.0,8.0,1.0,32.0,14.0,3.0,9.0,2.0,26.0
puneri paltan,u mumba,41.0,19.0,season 4,16.0,515.0,14.0,399.0,14.0,6.0,6.0,2.0,42.0,14.0,10.0,4.0,0.0,52.0
bengal warriors,dabang delhi,31.0,23.0,season 4,14.0,378.0,14.0,419.0,14.0,3.0,9.0,2.0,26.0,14.0,4.0,9.0,1.0,29.0
patna pirates,puneri paltan,30.0,24.0,season 4,16.0,492.0,16.0,515.0,14.0,7.0,6.0,1.0,42.0,14.0,6.0,6.0,2.0,42.0
jaipur pink panthers,telugu titans,28.0,24.0,season 4,16.0,475.0,16.0,506.0,14.0,8.0,5.0,1.0,47.0,14.0,8.0,4.0,2.0,50.0
patna pirates,u mumba,36.0,34.0,season 4,16.0,492.0,14.0,399.0,14.0,7.0,6.0,1.0,42.0,14.0,10.0,4.0,0.0,52.0
u mumba,dabang delhi,27.0,25.0,season 4,14.0,399.0,14.0,419.0,14.0,10.0,4.0,0.0,52.0,14.0,4.0,9.0,1.0,29.0
jaipur pink panthers,bengal warriors,36.0,33.0,season 4,16.0,475.0,14.0,378.0,14.0,8.0,5.0,1.0,47.0,14.0,3.0,9.0,2.0,26.0
dabang delhi,bengaluru bulls,32.0,24.0,season 4,14.0,419.0,14.0,360.0,14.0,4.0,9.0,1.0,29.0,14.0,5.0,8.0,1.0,32.0
puneri paltan,jaipur pink panthers,33.0,28.0,season 4,16.0,515.0,16.0,475.0,14.0,6.0,6.0,2.0,42.0,14.0,8.0,5.0,1.0,47.0
patna pirates,telugu titans,35.0,33.0,season 4,16.0,492.0,16.0,506.0,14.0,7.0,6.0,1.0,42.0,14.0,8.0,4.0,2.0,50.0
u mumba,bengal warriors,26.0,18.0,season 4,14.0,399.0,14.0,378.0,14.0,10.0,4.0,0.0,52.0,14.0,3.0,9.0,2.0,26.0
bengaluru bulls,puneri paltan,29.0,27.0,season 4,14.0,360.0,16.0,515.0,14.0,5.0,8.0,1.0,32.0,14.0,6.0,6.0,2.0,42.0
telugu titans,bengal warriors,35.0,18.0,season 4,16.0,506.0,14.0,378.0,14.0,8.0,4.0,2.0,50.0,14.0,3.0,9.0,2.0,26.0
bengaluru bulls,telugu titans,30.0,28.0,season 4,14.0,360.0,16.0,506.0,14.0,5.0,8.0,1.0,32.0,14.0,8.0,4.0,2.0,50.0
jaipur pink panthers,dabang delhi,51.0,26.0,season 4,16.0,475.0,14.0,419.0,14.0,8.0,5.0,1.0,47.0,14.0,4.0,9.0,1.0,29.0
telugu titans,u mumba,35.0,30.0,season 4,16.0,506.0,14.0,399.0,14.0,8.0,4.0,2.0,50.0,14.0,10.0,4.0,0.0,52.0
patna pirates,bengaluru bulls,31.0,25.0,season 4,16.0,492.0,14.0,360.0,14.0,7.0,6.0,1.0,42.0,14.0,5.0,8.0,1.0,32.0
u mumba,bengaluru bulls,24.0,23.0,season 4,14.0,399.0,14.0,360.0,14.0,10.0,4.0,0.0,52.0,14.0,5.0,8.0,1.0,32.0
patna pirates,bengal warriors,35.0,21.0,season 4,16.0,492.0,14.0,378.0,14.0,7.0,6.0,1.0,42.0,14.0,3.0,9.0,2.0,26.0
puneri paltan,bengal warriors,38.0,31.0,season 4,16.0,515.0,14.0,378.0,14.0,6.0,6.0,2.0,42.0,14.0,3.0,9.0,2.0,26.0
dabang delhi,patna pirates,33.0,15.0,season 4,14.0,419.0,16.0,492.0,14.0,4.0,9.0,1.0,29.0,14.0,7.0,6.0,1.0,42.0
telugu titans,dabang delhi,28.0,23.0,season 4,16.0,506.0,14.0,419.0,14.0,8.0,4.0,2.0,50.0,14.0,4.0,9.0,1.0,29.0
jaipur pink panthers,patna pirates,26.0,21.0,season 4,16.0,475.0,16.0,492.0,14.0,8.0,5.0,1.0,47.0,14.0,7.0,6.0,1.0,42.0
telugu titans,bengaluru bulls,32.0,24.0,season 4,16.0,506.0,14.0,360.0,14.0,8.0,4.0,2.0,50.0,14.0,5.0,8.0,1.0,32.0
jaipur pink panthers,bengaluru bulls,24.0,22.0,season 4,16.0,475.0,14.0,360.0,14.0,8.0,5.0,1.0,47.0,14.0,5.0,8.0,1.0,32.0
u mumba,jaipur pink panthers,29.0,23.0,season 4,14.0,399.0,16.0,475.0,14.0,10.0,4.0,0.0,52.0,14.0,8.0,5.0,1.0,47.0
patna pirates,bengaluru bulls,38.0,23.0,season 4,16.0,492.0,14.0,360.0,14.0,7.0,6.0,1.0,42.0,14.0,5.0,8.0,1.0,32.0
telugu titans,puneri paltan,32.0,29.0,season 4,16.0,506.0,16.0,515.0,14.0,8.0,4.0,2.0,50.0,14.0,6.0,6.0,2.0,42.0
dabang delhi,bengaluru bulls,40.0,20.0,season 4,14.0,419.0,14.0,360.0,14.0,4.0,9.0,1.0,29.0,14.0,5.0,8.0,1.0,32.0
bengal warriors,jaipur pink panthers,32.0,25.0,season 4,14.0,378.0,16.0,475.0,14.0,3.0,9.0,2.0,26.0,14.0,8.0,5.0,1.0,47.0
patna pirates,u mumba,34.0,24.0,season 4,16.0,492.0,14.0,399.0,14.0,7.0,6.0,1.0,42.0,14.0,10.0,4.0,0.0,52.0
jaipur pink panthers,puneri paltan,33.0,27.0,season 4,16.0,475.0,16.0,515.0,14.0,8.0,5.0,1.0,47.0,14.0,6.0,6.0,2.0,42.0
patna pirates,bengal warriors,33.0,27.0,season 4,16.0,492.0,14.0,378.0,14.0,7.0,6.0,1.0,42.0,14.0,3.0,9.0,2.0,26.0
telugu titans,dabang delhi,36.0,28.0,season 4,16.0,506.0,14.0,419.0,14.0,8.0,4.0,2.0,50.0,14.0,4.0,9.0,1.0,29.0
bengaluru bulls,bengal warriors,27.0,25.0,season 4,14.0,360.0,14.0,378.0,14.0,5.0,8.0,1.0,32.0,14.0,3.0,9.0,2.0,26.0
u mumba,puneri paltan,34.0,31.0,season 4,14.0,399.0,16.0,515.0,14.0,10.0,4.0,0.0,52.0,14.0,6.0,6.0,2.0,42.0
jaipur pink panthers,dabang delhi,24.0,22.0,season 4,16.0,475.0,14.0,419.0,14.0,8.0,5.0,1.0,47.0,14.0,4.0,9.0,1.0,29.0
jaipur pink panthers,patna pirates,29.0,22.0,season 4,16.0,475.0,16.0,492.0,14.0,8.0,5.0,1.0,47.0,14.0,7.0,6.0,1.0,42.0
bengal warriors,u mumba,31.0,27.0,season 4,14.0,378.0,14.0,399.0,14.0,3.0,9.0,2.0,26.0,14.0,10.0,4.0,0.0,52.0
patna pirates,puneri paltan,31.0,28.0,season 4,16.0,492.0,16.0,515.0,14.0,7.0,6.0,1.0,42.0,14.0,6.0,6.0,2.0,42.0
bengaluru bulls,u mumba,28.0,27.0,season 4,14.0,360.0,14.0,399.0,14.0,5.0,8.0,1.0,32.0,14.0,10.0,4.0,0.0,52.0
dabang delhi,bengal warriors,41.0,20.0,season 4,14.0,419.0,14.0,378.0,14.0,4.0,9.0,1.0,29.0,14.0,3.0,9.0,2.0,26.0
telugu titans,jaipur pink panthers,35.0,23.0,season 4,16.0,506.0,16.0,475.0,14.0,8.0,4.0,2.0,50.0,14.0,8.0,5.0,1.0,47.0
patna pirates,dabang delhi,32.0,31.0,season 4,16.0,492.0,14.0,419.0,14.0,7.0,6.0,1.0,42.0,14.0,4.0,9.0,1.0,29.0
telugu titans,patna pirates,46.0,25.0,season 4,16.0,506.0,16.0,492.0,14.0,8.0,4.0,2.0,50.0,14.0,7.0,6.0,1.0,42.0
puneri paltan,dabang delhi,39.0,34.0,season 4,16.0,515.0,14.0,419.0,14.0,6.0,6.0,2.0,42.0,14.0,4.0,9.0,1.0,29.0
puneri paltan,bengaluru bulls,36.0,33.0,season 4,16.0,515.0,14.0,360.0,14.0,6.0,6.0,2.0,42.0,14.0,5.0,8.0,1.0,32.0
u mumba,dabang delhi,38.0,34.0,season 4,14.0,399.0,14.0,419.0,14.0,10.0,4.0,0.0,52.0,14.0,4.0,9.0,1.0,29.0
patna pirates,puneri paltan,37.0,33.0,season 4,16.0,492.0,16.0,515.0,14.0,7.0,6.0,1.0,42.0,14.0,6.0,6.0,2.0,42.0
jaipur pink panthers,telugu titans,34.0,24.0,season 4,16.0,475.0,16.0,506.0,14.0,8.0,5.0,1.0,47.0,14.0,8.0,4.0,2.0,50.0
puneri paltan,telugu titans,40.0,35.0,season 4,16.0,515.0,16.0,506.0,14.0,6.0,6.0,2.0,42.0,14.0,8.0,4.0,2.0,50.0
patna pirates,jaipur pink panthers,37.0,29.0,season 4,16.0,492.0,16.0,475.0,14.0,7.0,6.0,1.0,42.0,14.0,8.0,5.0,1.0,47.0
puneri paltan,u mumba,33.0,21.0,season 5,24.0,766.0,22.0,707.0,22.0,15.0,7.0,0.0,80.0,22.0,10.0,12.0,0.0,56.0
dabang delhi,jaipur pink panthers,30.0,26.0,season 5,,,,,22.0,5.0,16.0,1.0,38.0,22.0,8.0,13.0,1.0,51.0
patna pirates,telugu titans,35.0,29.0,season 5,26.0,1050.0,22.0,696.0,22.0,10.0,7.0,5.0,71.0,22.0,7.0,12.0,3.0,52.0
u mumba,haryana steelers,29.0,28.0,season 5,22.0,707.0,23.0,727.0,22.0,10.0,12.0,0.0,56.0,22.0,13.0,5.0,4.0,79.0
bengaluru bulls,telugu titans,31.0,21.0,season 5,22.0,689.0,22.0,696.0,22.0,8.0,11.0,3.0,57.0,22.0,7.0,12.0,3.0,52.0
gujarat fortunegiants,dabang delhi,26.0,20.0,season 5,24.0,775.0,,,22.0,15.0,4.0,3.0,87.0,22.0,5.0,16.0,1.0,38.0
u.p. yoddha,telugu titans,31.0,18.0,season 5,23.0,762.0,22.0,696.0,,,,,,22.0,7.0,12.0,3.0,52.0
bengal warriors,telugu titans,30.0,24.0,season 5,24.0,749.0,22.0,696.0,22.0,11.0,5.0,6.0,77.0,22.0,7.0,12.0,3.0,52.0
patna pirates,telugu titans,43.0,36.0,season 5,26.0,1050.0,22.0,696.0,22.0,10.0,7.0,5.0,71.0,22.0,7.0,12.0,3.0,52.0
bengaluru bulls,tamil thalaivas,32.0,31.0,season 5,22.0,689.0,22.0,681.0,22.0,8.0,11.0,3.0,57.0,22.0,6.0,14.0,2.0,46.0
puneri paltan,dabang delhi,26.0,21.0,season 5,24.0,766.0,,,22.0,15.0,7.0,0.0,80.0,22.0,5.0,16.0,1.0,38.0
u mumba,dabang delhi,36.0,22.0,season 5,22.0,707.0,,,22.0,10.0,12.0,0.0,56.0,22.0,5.0,16.0,1.0,38.0
u.p. yoddha,bengaluru bulls,32.0,27.0,season 5,23.0,762.0,22.0,689.0,,,,,,22.0,8.0,11.0,3.0,57.0
bengal warriors,u.p. yoddha,40.0,20.0,season 5,24.0,749.0,23.0,762.0,22.0,11.0,5.0,6.0,77.0,,,,,
patna pirates,bengaluru bulls,46.0,32.0,season 5,26.0,1050.0,22.0,689.0,22.0,10.0,7.0,5.0,71.0,22.0,8.0,11.0,3.0,57.0
haryana steelers,gujarat fortunegiants,32.0,20.0,season 5,23.0,727.0,24.0,775.0,22.0,13.0,5.0,4.0,79.0,22.0,15.0,4.0,3.0,87.0
bengaluru bulls,bengal warriors,31.0,25.0,season 5,22.0,689.0,24.0,749.0,22.0,8.0,11.0,3.0,57.0,22.0,11.0,5.0,6.0,77.0
jaipur pink panthers,puneri paltan,30.0,28.0,season 5,,,24.0,766.0,22.0,8.0,13.0,1.0,51.0,22.0,15.0,7.0,0.0,80.0
tamil thalaivas,bengaluru bulls,29.0,24.0,season 5,22.0,681.0,22.0,689.0,22.0,6.0,14.0,2.0,46.0,22.0,8.0,11.0,3.0,57.0
gujarat fortunegiants,u mumba,39.0,21.0,season 5,24.0,775.0,22.0,707.0,22.0,15.0,4.0,3.0,87.0,22.0,10.0,12.0,0.0,56.0
u.p. yoddha,telugu titans,39.0,32.0,season 5,23.0,762.0,22.0,696.0,,,,,,22.0,7.0,12.0,3.0,52.0
gujarat fortunegiants,dabang delhi,29.0,25.0,season 5,24.0,775.0,,,22.0,15.0,4.0,3.0,87.0,22.0,5.0,16.0,1.0,38.0
gujarat fortunegiants,jaipur pink panthers,27.0,20.0,season 5,24.0,775.0,,,22.0,15.0,4.0,3.0,87.0,22.0,8.0,13.0,1.0,51.0
puneri paltan,bengal warriors,34.0,17.0,season 5,24.0,766.0,24.0,749.0,22.0,15.0,7.0,0.0,80.0,22.0,11.0,5.0,6.0,77.0
gujarat fortunegiants,bengaluru bulls,27.0,24.0,season 5,24.0,775.0,22.0,689.0,22.0,15.0,4.0,3.0,87.0,22.0,8.0,11.0,3.0,57.0
gujarat fortunegiants,telugu titans,29.0,19.0,season 5,24.0,775.0,22.0,696.0,22.0,15.0,4.0,3.0,87.0,22.0,7.0,12.0,3.0,52.0
dabang delhi,tamil thalaivas,30.0,29.0,season 5,,,22.0,681.0,22.0,5.0,16.0,1.0,38.0,22.0,6.0,14.0,2.0,46.0
u mumba,u.p. yoddha,37.0,34.0,season 5,22.0,707.0,23.0,762.0,22.0,10.0,12.0,0.0,56.0,,,,,
jaipur pink panthers,bengaluru bulls,30.0,28.0,season 5,,,22.0,689.0,22.0,8.0,13.0,1.0,51.0,22.0,8.0,11.0,3.0,57.0
telugu titans,u mumba,37.0,32.0,season 5,22.0,696.0,22.0,707.0,22.0,7.0,12.0,3.0,52.0,22.0,10.0,12.0,0.0,56.0
haryana steelers,u.p. yoddha,36.0,29.0,season 5,23.0,727.0,23.0,762.0,22.0,13.0,5.0,4.0,79.0,,,,,
puneri paltan,patna pirates,47.0,42.0,season 5,24.0,766.0,26.0,1050.0,22.0,15.0,7.0,0.0,80.0,22.0,10.0,7.0,5.0,71.0
jaipur pink panthers,u.p. yoddha,24.0,22.0,season 5,,,23.0,762.0,22.0,8.0,13.0,1.0,51.0,,,,,
gujarat fortunegiants,puneri paltan,35.0,21.0,season 5,24.0,775.0,24.0,766.0,22.0,15.0,4.0,3.0,87.0,22.0,15.0,7.0,0.0,80.0
bengal warriors,u.p. yoddha,32.0,31.0,season 5,24.0,749.0,23.0,762.0,22.0,11.0,5.0,6.0,77.0,,,,,
haryana steelers,dabang delhi,27.0,25.0,season 5,23.0,727.0,,,22.0,13.0,5.0,4.0,79.0,22.0,5.0,16.0,1.0,38.0
u.p. yoddha,telugu titans,25.0,23.0,season 5,23.0,762.0,22.0,696.0,,,,,,22.0,7.0,12.0,3.0,52.0
jaipur pink panthers,u mumba,39.0,36.0,season 5,,,22.0,707.0,22.0,8.0,13.0,1.0,51.0,22.0,10.0,12.0,0.0,56.0
patna pirates,tamil thalaivas,35.0,24.0,season 5,26.0,1050.0,22.0,681.0,22.0,10.0,7.0,5.0,71.0,22.0,6.0,14.0,2.0,46.0
puneri paltan,u mumba,26.0,24.0,season 5,24.0,766.0,22.0,707.0,22.0,15.0,7.0,0.0,80.0,22.0,10.0,12.0,0.0,56.0
bengal warriors,bengaluru bulls,32.0,26.0,season 5,24.0,749.0,22.0,689.0,22.0,11.0,5.0,6.0,77.0,22.0,8.0,11.0,3.0,57.0
dabang delhi,u mumba,33.0,32.0,season 5,,,22.0,707.0,22.0,5.0,16.0,1.0,38.0,22.0,10.0,12.0,0.0,56.0
u mumba,haryana steelers,38.0,32.0,season 5,22.0,707.0,23.0,727.0,22.0,10.0,12.0,0.0,56.0,22.0,13.0,5.0,4.0,79.0
telugu titans,tamil thalaivas,33.0,28.0,season 5,22.0,696.0,22.0,681.0,22.0,7.0,12.0,3.0,52.0,22.0,6.0,14.0,2.0,46.0
u mumba,jaipur pink panthers,36.0,32.0,season 5,22.0,707.0,,,22.0,10.0,12.0,0.0,56.0,22.0,8.0,13.0,1.0,51.0
bengal warriors,patna pirates,41.0,38.0,season 5,24.0,749.0,26.0,1050.0,22.0,11.0,5.0,6.0,77.0,22.0,10.0,7.0,5.0,71.0
haryana steelers,gujarat fortunegiants,42.0,36.0,season 5,23.0,727.0,24.0,775.0,22.0,13.0,5.0,4.0,79.0,22.0,15.0,4.0,3.0,87.0
jaipur pink panthers,gujarat fortunegiants,31.0,25.0,season 5,,,24.0,775.0,22.0,8.0,13.0,1.0,51.0,22.0,15.0,4.0,3.0,87.0
bengal warriors,tamil thalaivas,29.0,25.0,season 5,24.0,749.0,22.0,681.0,22.0,11.0,5.0,6.0,77.0,22.0,6.0,14.0,2.0,46.0
patna pirates,jaipur pink panthers,47.0,21.0,season 5,26.0,1050.0,,,22.0,10.0,7.0,5.0,71.0,22.0,8.0,13.0,1.0,51.0
haryana steelers,bengal warriors,36.0,29.0,season 5,23.0,727.0,24.0,749.0,22.0,13.0,5.0,4.0,79.0,22.0,11.0,5.0,6.0,77.0
dabang delhi,bengaluru bulls,38.0,30.0,season 5,,,22.0,689.0,22.0,5.0,16.0,1.0,38.0,22.0,8.0,11.0,3.0,57.0
u mumba,bengal warriors,37.0,31.0,season 5,22.0,707.0,24.0,749.0,22.0,10.0,12.0,0.0,56.0,22.0,11.0,5.0,6.0,77.0
puneri paltan,telugu titans,42.0,37.0,season 5,24.0,766.0,22.0,696.0,22.0,15.0,7.0,0.0,80.0,22.0,7.0,12.0,3.0,52.0
u mumba,patna pirates,51.0,41.0,season 5,22.0,707.0,26.0,1050.0,22.0,10.0,12.0,0.0,56.0,22.0,10.0,7.0,5.0,71.0
haryana steelers,bengaluru bulls,38.0,31.0,season 5,23.0,727.0,22.0,689.0,22.0,13.0,5.0,4.0,79.0,22.0,8.0,11.0,3.0,57.0
bengaluru bulls,puneri paltan,24.0,20.0,season 5,22.0,689.0,24.0,766.0,22.0,8.0,11.0,3.0,57.0,22.0,15.0,7.0,0.0,80.0
telugu titans,haryana steelers,37.0,19.0,season 5,22.0,696.0,23.0,727.0,22.0,7.0,12.0,3.0,52.0,22.0,13.0,5.0,4.0,79.0
bengal warriors,telugu titans,32.0,31.0,season 5,24.0,749.0,22.0,696.0,22.0,11.0,5.0,6.0,77.0,22.0,7.0,12.0,3.0,52.0
haryana steelers,dabang delhi,27.0,24.0,season 5,23.0,727.0,,,22.0,13.0,5.0,4.0,79.0,22.0,5.0,16.0,1.0,38.0
tamil thalaivas,u.p. yoddha,34.0,33.0,season 5,22.0,681.0,23.0,762.0,22.0,6.0,14.0,2.0,46.0,,,,,
puneri paltan,haryana steelers,38.0,22.0,season 5,24.0,766.0,23.0,727.0,22.0,15.0,7.0,0.0,80.0,22.0,13.0,5.0,4.0,79.0
patna pirates,telugu titans,46.0,30.0,season 5,26.0,1050.0,22.0,696.0,22.0,10.0,7.0,5.0,71.0,22.0,7.0,12.0,3.0,52.0
gujarat fortunegiants,u mumba,39.0,28.0,season 5,24.0,775.0,22.0,707.0,22.0,15.0,4.0,3.0,87.0,22.0,10.0,12.0,0.0,56.0
patna pirates,u.p. yoddha,45.0,42.0,season 5,26.0,1050.0,23.0,762.0,22.0,10.0,7.0,5.0,71.0,,,,,
jaipur pink panthers,dabang delhi,36.0,25.0,season 5,,,,,22.0,8.0,13.0,1.0,51.0,22.0,5.0,16.0,1.0,38.0
puneri paltan,haryana steelers,37.0,25.0,season 5,24.0,766.0,23.0,727.0,22.0,15.0,7.0,0.0,80.0,22.0,13.0,5.0,4.0,79.0
patna pirates,bengaluru bulls,36.0,32.0,season 5,26.0,1050.0,22.0,689.0,22.0,10.0,7.0,5.0,71.0,22.0,8.0,11.0,3.0,57.0
gujarat fortunegiants,u mumba,45.0,23.0,season 5,24.0,775.0,22.0,707.0,22.0,15.0,4.0,3.0,87.0,22.0,10.0,12.0,0.0,56.0
patna pirates,tamil thalaivas,41.0,39.0,season 5,26.0,1050.0,22.0,681.0,22.0,10.0,7.0,5.0,71.0,22.0,6.0,14.0,2.0,46.0
haryana steelers,jaipur pink panthers,30.0,26.0,season 5,23.0,727.0,,,22.0,13.0,5.0,4.0,79.0,22.0,8.0,13.0,1.0,51.0
u.p. yoddha,patna pirates,46.0,41.0,season 5,23.0,762.0,26.0,1050.0,,,,,,22.0,10.0,7.0,5.0,71.0
u mumba,dabang delhi,30.0,28.0,season 5,22.0,707.0,,,22.0,10.0,12.0,0.0,56.0,22.0,5.0,16.0,1.0,38.0
bengal warriors,bengaluru bulls,33.0,29.0,season 5,24.0,749.0,22.0,689.0,22.0,11.0,5.0,6.0,77.0,22.0,8.0,11.0,3.0,57.0
puneri paltan,dabang delhi,34.0,29.0,season 5,24.0,766.0,,,22.0,15.0,7.0,0.0,80.0,22.0,5.0,16.0,1.0,38.0
tamil thalaivas,bengal warriors,33.0,32.0,season 5,22.0,681.0,24.0,749.0,22.0,6.0,14.0,2.0,46.0,22.0,11.0,5.0,6.0,77.0
haryana steelers,dabang delhi,42.0,24.0,season 5,23.0,727.0,,,22.0,13.0,5.0,4.0,79.0,22.0,5.0,16.0,1.0,38.0
tamil thalaivas,gujarat fortunegiants,35.0,34.0,season 5,22.0,681.0,24.0,775.0,22.0,6.0,14.0,2.0,46.0,22.0,15.0,4.0,3.0,87.0
patna pirates,dabang delhi,36.0,34.0,season 5,26.0,1050.0,,,22.0,10.0,7.0,5.0,71.0,22.0,5.0,16.0,1.0,38.0
telugu titans,jaipur pink panthers,41.0,34.0,season 5,22.0,696.0,,,22.0,7.0,12.0,3.0,52.0,22.0,8.0,13.0,1.0,51.0
u.p. yoddha,dabang delhi,45.0,16.0,season 5,23.0,762.0,,,,,,,,22.0,5.0,16.0,1.0,38.0
u mumba,bengaluru bulls,42.0,30.0,season 5,22.0,707.0,22.0,689.0,22.0,10.0,12.0,0.0,56.0,22.0,8.0,11.0,3.0,57.0
telugu titans,dabang delhi,44.0,22.0,season 5,22.0,696.0,,,22.0,7.0,12.0,3.0,52.0,22.0,5.0,16.0,1.0,38.0
puneri paltan,tamil thalaivas,33.0,20.0,season 5,24.0,766.0,22.0,681.0,22.0,15.0,7.0,0.0,80.0,22.0,6.0,14.0,2.0,46.0
gujarat fortunegiants,patna pirates,30.0,29.0,season 5,24.0,775.0,26.0,1050.0,22.0,15.0,4.0,3.0,87.0,22.0,10.0,7.0,5.0,71.0
puneri paltan,u.p. yoddha,34.0,33.0,season 5,24.0,766.0,23.0,762.0,22.0,15.0,7.0,0.0,80.0,,,,,
jaipur pink panthers,tamil thalaivas,27.0,26.0,season 5,,,22.0,681.0,22.0,8.0,13.0,1.0,51.0,22.0,6.0,14.0,2.0,46.0
bengal warriors,jaipur pink panthers,32.0,31.0,season 5,24.0,749.0,,,22.0,11.0,5.0,6.0,77.0,22.0,8.0,13.0,1.0,51.0
u mumba,tamil thalaivas,33.0,30.0,season 5,22.0,707.0,22.0,681.0,22.0,10.0,12.0,0.0,56.0,22.0,6.0,14.0,2.0,46.0
gujarat fortunegiants,dabang delhi,42.0,22.0,season 5,24.0,775.0,,,22.0,15.0,4.0,3.0,87.0,22.0,5.0,16.0,1.0,38.0
telugu titans,tamil thalaivas,58.0,37.0,season 5,22.0,696.0,22.0,681.0,22.0,7.0,12.0,3.0,52.0,22.0,6.0,14.0,2.0,46.0
haryana steelers,u mumba,41.0,30.0,season 5,23.0,727.0,22.0,707.0,22.0,13.0,5.0,4.0,79.0,22.0,10.0,12.0,0.0,56.0
u.p. yoddha,tamil thalaivas,37.0,33.0,season 5,23.0,762.0,22.0,681.0,,,,,,22.0,6.0,14.0,2.0,46.0
bengaluru bulls,tamil thalaivas,45.0,35.0,season 5,22.0,689.0,22.0,681.0,22.0,8.0,11.0,3.0,57.0,22.0,6.0,14.0,2.0,46.0
gujarat fortunegiants,jaipur pink panthers,29.0,23.0,season 5,24.0,775.0,,,22.0,15.0,4.0,3.0,87.0,22.0,8.0,13.0,1.0,51.0
bengal warriors,puneri paltan,25.0,19.0,season 5,24.0,749.0,24.0,766.0,22.0,11.0,5.0,6.0,77.0,22.0,15.0,7.0,0.0,80.0
haryana steelers,telugu titans,32.0,30.0,season 5,23.0,727.0,22.0,696.0,22.0,13.0,5.0,4.0,79.0,22.0,7.0,12.0,3.0,52.0
jaipur pink panthers,u mumba,36.0,32.0,season 5,,,22.0,707.0,22.0,8.0,13.0,1.0,51.0,22.0,10.0,12.0,0.0,56.0
gujarat fortunegiants,patna pirates,33.0,29.0,season 5,24.0,775.0,26.0,1050.0,22.0,15.0,4.0,3.0,87.0,22.0,10.0,7.0,5.0,71.0
puneri paltan,jaipur pink panthers,38.0,30.0,season 5,24.0,766.0,,,22.0,15.0,7.0,0.0,80.0,22.0,8.0,13.0,1.0,51.0
